Sample Name	Model ID	Feature ID	Classification	All Genes
A101D_SKIN	ACH-000008	A101D_SKIN_amplicon2_Linear amplification_1	Linear amplification	['AIFM3', 'ARVCF', 'BCRP2', 'C22orf39', 'CCDC188', 'CDC45', 'CLDN5', 'CLTCL1', 'COMT', 'CRKL', 'DGCR10', 'DGCR11', 'DGCR2', 'DGCR5', 'DGCR6L', 'DGCR8', 'DGCR9', 'ESS2', 'FAM230B', 'FAM230G', 'GNB1L', 'GP1BB', 'GSC2', 'HIRA', 'KLHL22', 'LRRC74B', 'LZTR1', 'MED15', 'MRPL40', 'P2RX6', 'P2RX6P', 'PI4KA', 'POM121L4P', 'RANBP1', 'RTL10', 'RTN4R', 'SCARF2', 'SEPT5-GP1BB', 'SEPTIN5', 'SERPIND1', 'SLC25A1', 'SLC7A4', 'SNAP29', 'SNORA77B', 'TANGO2', 'TBX1', 'THAP7', 'THAP7-AS1', 'TMEM191A', 'TRMT2A', 'TSSK2', 'TUBA3FP', 'TXNRD2', 'UFD1', 'ZDHHC8', 'ZNF74']
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000697	A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_amplicon1_Linear amplification_1	Linear amplification	['ATG4C']
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000697	A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_amplicon2_ecDNA_1	ecDNA	[]
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000697	A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_amplicon3_Linear amplification_1	Linear amplification	[]
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000697	A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_amplicon4_ecDNA_1	ecDNA	['IGLL5', 'TFRC']
A704_KIDNEY	ACH-000429	A704_KIDNEY_amplicon1_Linear amplification_1	Linear amplification	[]
ABC1_LUNG	ACH-000528	ABC1_LUNG_amplicon1_ecDNA_1	ecDNA	['FSTL5']
ABC1_LUNG	ACH-000528	ABC1_LUNG_amplicon2_Linear amplification_1	Linear amplification	['ANKH', 'DNAH5', 'OTULIN', 'OTULINL', 'SNORD141A', 'SNORD141B', 'SNORD170', 'TRIO']
ABC1_LUNG	ACH-000528	ABC1_LUNG_amplicon3_Linear amplification_1	Linear amplification	['CDH12']
ABC1_LUNG	ACH-000528	ABC1_LUNG_amplicon4_ecDNA_1	ecDNA	['ANGPT4', 'C20orf202', 'CSNK2A1', 'FAM110A', 'FKBP1A', 'FKBP1A-SDCBP2', 'NSFL1C', 'PSMF1', 'RAD21L1', 'RSPO4', 'SCRT2', 'SDCBP2', 'SDCBP2-AS1', 'SIRPB2', 'SIRPB3P', 'SIRPD', 'SIRPG', 'SIRPG-AS1', 'SLC52A3', 'SNPH', 'SRXN1', 'TCF15', 'TMEM74B']
ABC1_LUNG	ACH-000528	ABC1_LUNG_amplicon5_Complex non-cyclic_1	Complex non-cyclic	['CST1', 'CST11', 'CST13P', 'CST3', 'CST4', 'CST8', 'CST9', 'CST9L', 'CSTL1', 'GZF1', 'NAPB', 'NXT1']
ABC1_LUNG	ACH-000528	ABC1_LUNG_amplicon6_BFB_1	BFB	['SYNDIG1']
AGS_STOMACH	ACH-000880	AGS_STOMACH_amplicon1_Linear amplification_1	Linear amplification	['DUSP22']
AU565_BREAST	ACH-000248	AU565_BREAST_amplicon1_ecDNA_1	ecDNA	['ACAA1', 'DLEC1', 'MYD88', 'OXSR1', 'PLCD1', 'SLC22A13', 'SLC22A14', 'VILL']
AU565_BREAST	ACH-000248	AU565_BREAST_amplicon3_ecDNA_1	ecDNA	['ANXA13', 'ATAD2', 'C8orf76', 'C8orf89', 'CALB1', 'CASC11', 'CASC19', 'CASC21', 'CASC8', 'CASC9', 'CCAT1', 'CCAT2', 'CCN3', 'CNBD1', 'COL14A1', 'COLEC10', 'CSMD3', 'DCAF4L2', 'DECR1', 'DEPTOR', 'DERL1', 'DSCC1', 'ELOC', 'ENPP2', 'FAM83A', 'FAM83A-AS1', 'FAM91A1', 'FBXO32', 'FER1L6', 'FER1L6-AS1', 'FER1L6-AS2', 'GDAP1', 'HAS2', 'HAS2-AS1', 'HEY1', 'HNF4G', 'IL7', 'JPH1', 'KCNB2', 'KLHL38', 'KRT33A', 'KRT33B', 'KRT34', 'KRTAP16-1', 'KRTAP17-1', 'KRTAP29-1', 'KRTAP4-1', 'KRTAP4-11', 'KRTAP4-12', 'KRTAP4-2', 'KRTAP4-3', 'KRTAP4-4', 'KRTAP4-5', 'KRTAP4-6', 'KRTAP4-8', 'KRTAP4-9', 'KRTAP9-1', 'KRTAP9-2', 'KRTAP9-3', 'KRTAP9-4', 'KRTAP9-6', 'KRTAP9-7', 'KRTAP9-8', 'KRTAP9-9', 'LY96', 'MAL2', 'MAL2-AS1', 'MMP16', 'MRPL13', 'MRPS28', 'MSC', 'MSC-AS1', 'MTBP', 'MYC', 'NBN', 'NDUFB9', 'OSGIN2', 'PCAT1', 'PCAT2', 'PEX2', 'PKIA', 'PKIA-AS1', 'POU5F1B', 'PRNCR1', 'RDH10', 'RDH10-AS1', 'RIPK2', 'RNF139', 'RNF139-AS1', 'RPL7', 'SAMD12', 'SAMD12-AS1', 'SBSPON', 'SMILR', 'SNTB1', 'STAU2', 'STAU2-AS1', 'STMN2', 'TAF2', 'TATDN1', 'TBC1D31', 'TERF1', 'TMEM65', 'TMEM70', 'TMEM75', 'TNFRSF11B', 'TPD52', 'TRMT12', 'TRPA1', 'TRPS1', 'UBE2W', 'WDYHV1', 'ZBTB10', 'ZC2HC1A', 'ZFHX4', 'ZFHX4-AS1', 'ZHX1', 'ZHX1-C8orf76', 'ZHX2', 'ZNF704']
AU565_BREAST	ACH-000248	AU565_BREAST_amplicon4_ecDNA_1	ecDNA	['MDFIC']
AU565_BREAST	ACH-000248	AU565_BREAST_amplicon5_BFB_1	BFB	['EFCAB1', 'PPDPFL', 'SNAI2']
AU565_BREAST	ACH-000248	AU565_BREAST_amplicon7_Linear amplification_1	Linear amplification	['DHRS13', 'FLOT2', 'MYO18A', 'PHF12', 'PIPOX', 'SEZ6', 'TIAF1']
AU565_BREAST	ACH-000248	AU565_BREAST_amplicon8_Linear amplification_1	Linear amplification	['BCAS1', 'CYP24A1', 'DOK5', 'PFDN4', 'SUMO1P1', 'TSHZ2', 'ZNF217']
BFTC909_KIDNEY	ACH-000792	BFTC909_KIDNEY_amplicon1_Linear amplification_1	Linear amplification	['ACAP3', 'ANKRD65', 'ATAD3A', 'ATAD3B', 'ATAD3C', 'AURKAIP1', 'B3GALT6', 'C1QTNF12', 'CALML6', 'CCNL2', 'CDK11A', 'CDK11B', 'CPTP', 'DVL1', 'FNDC10', 'GNB1', 'INTS11', 'MIB2', 'MMP23A', 'MMP23B', 'MRPL20', 'MRPL20-AS1', 'MXRA8', 'NADK', 'PUSL1', 'SCNN1D', 'SDF4', 'SLC35E2A', 'SLC35E2B', 'SNORD167', 'SSU72', 'TAS1R3', 'TMEM240', 'TMEM52', 'TMEM88B', 'TNFRSF18', 'TNFRSF4', 'TTLL10', 'UBE2J2', 'VWA1']
BFTC909_KIDNEY	ACH-000792	BFTC909_KIDNEY_amplicon2_BFB_1	BFB	['ADCY10P1', 'APOBEC2', 'BYSL', 'C6orf132', 'CCND3', 'DAAM2', 'DAAM2-AS1', 'FOXP4', 'FOXP4-AS1', 'FRS3', 'GUCA1A', 'GUCA1B', 'KCNK16', 'KCNK17', 'KIF6', 'LRFN2', 'MDFI', 'MED20', 'MOCS1', 'MRPS10', 'NCR2', 'NFYA', 'OARD1', 'PGC', 'PRICKLE4', 'TAF8', 'TDRG1', 'TFEB', 'TOMM6', 'TREM1', 'TREM2', 'TREML1', 'TREML2', 'TREML3P', 'TREML4', 'TREML5P', 'TSPO2', 'UNC5CL', 'USP49']
BFTC909_KIDNEY	ACH-000792	BFTC909_KIDNEY_amplicon3_Complex non-cyclic_1	Complex non-cyclic	['AK3', 'CBWD1', 'CD274', 'CDC37L1', 'CDC37L1-DT', 'DMRT1', 'DMRT2', 'DMRT3', 'DOCK8', 'DOCK8-AS1', 'ERMP1', 'FOXD4', 'GLIS3', 'GLIS3-AS1', 'INSL4', 'INSL6', 'JAK2', 'KANK1', 'KCNV2', 'MLANA', 'PDCD1LG2', 'PLGRKT', 'PLPP6', 'PUM3', 'RCL1', 'RFX3', 'RFX3-AS1', 'RIC1', 'RLN1', 'RLN2', 'SLC1A1', 'SMARCA2', 'SPATA6L', 'VLDLR', 'VLDLR-AS1']
BT20_BREAST	ACH-000536	BT20_BREAST_amplicon10_ecDNA_1	ecDNA	['FZD8', 'GJD4', 'PCAT5']
BT20_BREAST	ACH-000536	BT20_BREAST_amplicon11_BFB_1	BFB	['GJA3', 'GJB2']
BT20_BREAST	ACH-000536	BT20_BREAST_amplicon12_ecDNA_1	ecDNA	['ALOX5AP', 'B3GLCT', 'EEF1DP3', 'HMGB1', 'HSPH1', 'KATNAL1', 'MEDAG', 'RXFP2', 'TEX26', 'TEX26-AS1', 'UBE2L5', 'USPL1']
BT20_BREAST	ACH-000536	BT20_BREAST_amplicon13_Linear amplification_1	Linear amplification	[]
BT20_BREAST	ACH-000536	BT20_BREAST_amplicon1_ecDNA_1	ecDNA	['AKNAD1', 'AMIGO1', 'AMPD2', 'ATXN7L2', 'C1orf194', 'CELSR2', 'CLCC1', 'CYB561D1', 'EPS8L3', 'FNDC7', 'GNAI3', 'GNAT2', 'GPR61', 'GPSM2', 'GSTM1', 'GSTM2', 'GSTM3', 'GSTM4', 'GSTM5', 'KIAA1324', 'MYBPHL', 'PSMA5', 'PSRC1', 'SARS1', 'SCARNA2', 'SORT1', 'SPATA42', 'STXBP3', 'SYPL2', 'TAF13', 'TMEM167B', 'WDR47']
BT20_BREAST	ACH-000536	BT20_BREAST_amplicon2_Complex non-cyclic_1	Complex non-cyclic	['ABCC11', 'ABCC12', 'EMBP1', 'ITFG1', 'LONP2', 'PHKB', 'SIAH1', 'SRGAP2-AS1']
BT20_BREAST	ACH-000536	BT20_BREAST_amplicon3_ecDNA_1	ecDNA	['EAF2', 'GOLGB1', 'IQCB1', 'SLC15A2']
BT20_BREAST	ACH-000536	BT20_BREAST_amplicon4_Linear amplification_1	Linear amplification	['ARFIP1', 'ARHGAP10', 'CALHM4', 'CALHM5', 'CALHM6', 'DCBLD1', 'DCLK2', 'DSE', 'EDNRA', 'FAM160A1', 'FAM162B', 'FBXW7', 'FBXW7-AS1', 'FHDC1', 'FLJ34503', 'FRK', 'GATB', 'GPRC6A', 'HDAC2', 'HDAC2-AS2', 'HS3ST5', 'IQCM', 'KPNA5', 'LRBA', 'MAB21L2', 'MARCKS', 'MROCKI', 'NR3C2', 'PRMT9', 'PRSS48', 'RFX6', 'ROS1', 'RPS3A', 'RSPH4A', 'RWDD1', 'SH3D19', 'SNORD73A', 'SNORD73B', 'TIGD4', 'TMEM154', 'TMEM184C', 'TPI1P3', 'TRAPPC3L', 'TSPYL1', 'TSPYL4', 'VGLL2', 'ZUP1']
BT20_BREAST	ACH-000536	BT20_BREAST_amplicon6_Linear amplification_1	Linear amplification	[]
BT20_BREAST	ACH-000536	BT20_BREAST_amplicon7_Linear amplification_1	Linear amplification	[]
BT20_BREAST	ACH-000536	BT20_BREAST_amplicon8_Linear amplification_1	Linear amplification	['ATG5', 'CRYBG1', 'PRDM1', 'PREP']
BT20_BREAST	ACH-000536	BT20_BREAST_amplicon9_Complex non-cyclic_1	Complex non-cyclic	['CALN1', 'EGFR', 'EGFR-AS1', 'ELDR', 'FKBP9P1', 'LANCL2', 'SEC61G', 'VOPP1']
BT474_BREAST	ACH-000927	BT474_BREAST_amplicon1_ecDNA_1	ecDNA	[]
BT474_BREAST	ACH-000927	BT474_BREAST_amplicon1_ecDNA_2	ecDNA	['ADA', 'ADNP', 'ADNP-AS1', 'ANKRD60', 'APCDD1L', 'APCDD1L-DT', 'ATP9A', 'AURKA', 'BCAS1', 'BCAS4', 'BMP7', 'BMP7-AS1', 'C20orf85', 'CASS4', 'CBLN4', 'CCN5', 'CEBPB', 'CEBPB-AS1', 'CSTF1', 'CTCFL', 'CYP24A1', 'DOK5', 'DPM1', 'FAM209A', 'FAM209B', 'FAM210B', 'GCNT7', 'KCNG1', 'KCNK15', 'KCNK15-AS1', 'KCNS1', 'MC3R', 'MOCS3', 'MTRNR2L3', 'NFATC2', 'NKILA', 'NPEPL1', 'PABPC1L', 'PARD6B', 'PCK1', 'PFDN4', 'PI3', 'PKIG', 'PMEPA1', 'PPP4R1L', 'PTPN1', 'RAB22A', 'RAE1', 'RBM38', 'RIMS4', 'RIPOR3', 'RNF114', 'RTF2', 'SALL4', 'SEMG1', 'SEMG2', 'SERINC3', 'SLC9A8', 'SMIM25', 'SNAI1', 'SPATA2', 'SPO11', 'STK4', 'STK4-AS1', 'STX16', 'STX16-NPEPL1', 'SUMO1P1', 'TFAP2C', 'TMEM189', 'TMEM189-UBE2V1', 'TOMM34', 'TRERNA1', 'TSHZ2', 'TTPAL', 'UBE2V1', 'VAPB', 'WFDC12', 'WFDC5', 'YWHAB', 'ZBP1', 'ZFP64', 'ZNF217']
BT474_BREAST	ACH-000927	BT474_BREAST_amplicon1_ecDNA_3	ecDNA	['ABCC3', 'ABI3', 'ACACA', 'ACSF2', 'AMZ2P1', 'ANKRD40', 'ANKRD40CL', 'APPBP2', 'ARHGAP23', 'ARL5C', 'ATP5MC1', 'B4GALNT2', 'BCAS3', 'C17orf64', 'C17orf78', 'C17orf98', 'CA4', 'CACNA1G', 'CACNA1G-AS1', 'CACNB1', 'CALCOCO2', 'CDK12', 'CHAD', 'CISD3', 'CLTC', 'COL1A1', 'CSF3', 'CWC25', 'DDX52', 'DHX40', 'DLX3', 'DLX4', 'DUSP14', 'EME1', 'EPN3', 'EPOP', 'EPX', 'ERBB2', 'FAM117A', 'FBXL20', 'FBXO47', 'FLJ40194', 'FLJ45513', 'GDPD1', 'GIP', 'GNGT2', 'GPR179', 'GRB7', 'GSDMA', 'GSDMB', 'H1-9P', 'HEATR6', 'HNF1B', 'HOXB-AS1', 'HOXB-AS3', 'HOXB1', 'HOXB13', 'HOXB2', 'HOXB3', 'HOXB4', 'HOXB5', 'HOXB6', 'HOXB7', 'HOXB8', 'HOXB9', 'HSF5', 'IGF2BP1', 'IKZF3', 'ITGA3', 'KAT7', 'KIF2B', 'LASP1', 'LPO', 'LRRC37A11P', 'LRRC3C', 'LRRC59', 'LUC7L3', 'MED1', 'MED24', 'MIEN1', 'MKS1', 'MLLT6', 'MPO', 'MRPL27', 'MRPL45', 'MSX2P1', 'MTMR4', 'MYCBPAP', 'NEUROD2', 'NGFR', 'NXPH3', 'OR4D1', 'OR4D2', 'ORMDL3', 'PCGF2', 'PDK2', 'PGAP3', 'PHB', 'PHOSPHO1', 'PICART1', 'PIP4K2B', 'PLXDC1', 'PNMT', 'PPM1D', 'PPM1E', 'PPP1R1B', 'PPP1R9B', 'PRAC1', 'PRAC2', 'PRR11', 'PSMB3', 'PSMD3', 'PTRH2', 'RAD51C', 'RDM1P5', 'RNF43', 'RNFT1', 'RNFT1-DT', 'RPL19', 'RPL23', 'RPS6KB1', 'RSAD1', 'SAMD14', 'SCARNA20', 'SEPTIN4', 'SEPTIN4-AS1', 'SGCA', 'SKA2', 'SKAP1', 'SLC35B1', 'SMG8', 'SNF8', 'SNORA21', 'SNORA21B', 'SNORA90', 'SNORD124', 'SOCS7', 'SPATA20', 'SPOP', 'SRCIN1', 'STAC2', 'STARD3', 'SUPT4H1', 'SYNRG', 'TAC4', 'TADA2A', 'TBC1D3', 'TBC1D3C', 'TBC1D3E', 'TBC1D3P1-DHX40P1', 'TCAP', 'TEX14', 'THRA', 'THRA1/BTR', 'TMEM92', 'TMEM92-AS1', 'TOB1', 'TOB1-AS1', 'TRIM37', 'TSPOAP1', 'TSPOAP1-AS1', 'TTLL6', 'TUBD1', 'UBE2Z', 'USP32', 'VMP1', 'WFDC21P', 'WFIKKN2', 'XYLT2', 'YPEL2', 'YWHAEP7', 'ZNF652', 'ZPBP2']
BT474_BREAST	ACH-000927	BT474_BREAST_amplicon2_Complex non-cyclic_1	Complex non-cyclic	['AGA']
BT474_BREAST	ACH-000927	BT474_BREAST_amplicon3_ecDNA_1	ecDNA	['HEATR1']
BT474_BREAST	ACH-000927	BT474_BREAST_amplicon4_Complex non-cyclic_1	Complex non-cyclic	['ATG2A', 'BAD', 'CATSPERZ', 'CCDC88B', 'CDC42BPG', 'COX8A', 'DNAJC4', 'EHD1', 'ESRRA', 'FERMT3', 'FKBP2', 'FLRT1', 'GPHA2', 'GPR137', 'KCNK4', 'KCNK4-TEX40', 'MACROD1', 'MAP3K11', 'MAP4K2', 'MARK2', 'MEN1', 'NAA40', 'NRXN2', 'NUDT22', 'OTUB1', 'PCNX3', 'PLCB3', 'POLA2', 'PPP1R14B', 'PPP1R14B-AS1', 'PPP2R5B', 'PRDX5', 'PYGM', 'RASGRP2', 'RCOR2', 'RPS6KA4', 'SF1', 'SLC22A11', 'SLC22A12', 'STIP1', 'TRMT112', 'TRPT1', 'VEGFB']
BT474_BREAST	ACH-000927	BT474_BREAST_amplicon5_Linear amplification_1	Linear amplification	['CRB2', 'DENND1A', 'GPR21', 'LHX2', 'LHX6', 'MORN5', 'MRRF', 'NDUFA8', 'OR1B1', 'OR1J1', 'OR1J2', 'OR1J4', 'OR1K1', 'OR1L1', 'OR1L3', 'OR1L4', 'OR1L6', 'OR1L8', 'OR1N1', 'OR1N2', 'OR1Q1', 'OR5C1', 'PDCL', 'PTGS1', 'RABGAP1', 'RBM18', 'RC3H2', 'SNORD90', 'STRBP', 'TTLL11', 'ZBTB26', 'ZBTB6']
BT474_BREAST	ACH-000927	BT474_BREAST_amplicon6_Linear amplification_1	Linear amplification	['ARHGEF17', 'COA4', 'DNAJB13', 'FAM168A', 'FCHSD2', 'MRPL48', 'P2RY2', 'P2RY6', 'PAAF1', 'PLEKHB1', 'RAB6A', 'RELT', 'UCP2', 'UCP3']
BT474_BREAST	ACH-000927	BT474_BREAST_amplicon7_Complex non-cyclic_1	Complex non-cyclic	['ANGPTL5', 'ARHGAP42', 'ARRB1', 'CEP126', 'CFAP300', 'EMSY', 'GVQW3', 'KLHL35', 'LRRC32', 'NEU3', 'OR2AT4', 'PGR', 'PGR-AS1', 'RPS3', 'SLCO2B1', 'SNORD13I', 'SNORD15A', 'SNORD15B', 'SPCS2', 'THAP12', 'TPBGL', 'TRPC6', 'XRRA1', 'YAP1']
BT483_BREAST	ACH-000818	BT483_BREAST_amplicon1_ecDNA_1	ecDNA	['ADGRA2', 'ADRB3', 'ASH2L', 'BRF2', 'EIF4EBP1', 'ERLIN2', 'GOT1L1', 'PLPBP', 'RAB11FIP1', 'STAR', 'ZNF703']
C2BBE1_LARGE_INTESTINE	ACH-000009	C2BBE1_LARGE_INTESTINE_amplicon1_Linear amplification_1	Linear amplification	['CBX1', 'CDK5RAP3', 'COPZ2', 'KPNB1', 'KSR1', 'LRRC46', 'MRPL10', 'NFE2L1', 'OSBPL7', 'PNPO', 'PRR15L', 'SCRN2', 'SNX11', 'SP2', 'SP2-AS1', 'SP6', 'TBC1D3P5', 'TBKBP1', 'TBX21', 'THRA1/BTR']
C2BBE1_LARGE_INTESTINE	ACH-000009	C2BBE1_LARGE_INTESTINE_amplicon2_Linear amplification_1	Linear amplification	['IFT20', 'KRT18P55', 'LGALS9', 'LYRM9', 'NLK', 'NOS2', 'POLDIP2', 'PPY2P', 'PYY2', 'SARM1', 'SEBOX', 'SLC46A1', 'TMEM199', 'TMEM97', 'TNFAIP1', 'VTN']
C2BBE1_LARGE_INTESTINE	ACH-000009	C2BBE1_LARGE_INTESTINE_amplicon3_Complex non-cyclic_1	Complex non-cyclic	['ABCC3', 'ACSF2', 'ANKRD40', 'ANKRD40CL', 'CACNA1G', 'CACNA1G-AS1', 'CHAD', 'COL1A1', 'DLX4', 'EME1', 'EPN3', 'FAM117A', 'FLJ45513', 'H1-9P', 'KAT7', 'LRRC59', 'LUC7L3', 'MRPL27', 'MYCBPAP', 'PPP1R9B', 'RSAD1', 'SAMD14', 'SGCA', 'SLC35B1', 'SPATA20', 'TAC4', 'TMEM92', 'TMEM92-AS1', 'TOB1', 'TOB1-AS1', 'WFIKKN2', 'XYLT2']
CAKI1_KIDNEY	ACH-000433	CAKI1_KIDNEY_amplicon1_ecDNA_1	ecDNA	[]
CAL120_BREAST	ACH-000212	CAL120_BREAST_amplicon1_Linear amplification_1	Linear amplification	[]
CAL120_BREAST	ACH-000212	CAL120_BREAST_amplicon2_ecDNA_1	ecDNA	[]
CAL120_BREAST	ACH-000212	CAL120_BREAST_amplicon4_Linear amplification_1	Linear amplification	['CCN3', 'EFR3A']
CAL120_BREAST	ACH-000212	CAL120_BREAST_amplicon5_Linear amplification_1	Linear amplification	['MDFIC2']
CAL120_BREAST	ACH-000212	CAL120_BREAST_amplicon7_ecDNA_1	ecDNA	['ADAM18', 'ADAM2', 'ADAM32', 'ADAM3A', 'ADAM5', 'ADAM9', 'ADGRA2', 'ADRB3', 'ANK1', 'AP3M2', 'ASH2L', 'BAG4', 'BRF2', 'C8orf86', 'DDHD2', 'EIF4EBP1', 'ERLIN2', 'FGFR1', 'GINS4', 'GOLGA7', 'GOT1L1', 'GPAT4', 'HTRA4', 'IDO1', 'IDO2', 'KAT6A', 'KCNU1', 'LETM2', 'LSM1', 'NKX6-3', 'NSD3', 'PLAT', 'PLEKHA2', 'PLPBP', 'PLPP5', 'RAB11FIP1', 'RNF5P1', 'SFRP1', 'SIRLNT', 'SNORD38D', 'SNORD65B', 'STAR', 'TACC1', 'TCIM', 'TM2D2', 'ZMAT4', 'ZNF703']
CAL120_BREAST	ACH-000212	CAL120_BREAST_amplicon8_ecDNA_2	ecDNA	['FLJ12825', 'HOXC-AS1', 'HOXC-AS2', 'HOXC-AS3', 'HOXC10', 'HOXC4', 'HOXC5', 'HOXC6', 'HOXC8', 'HOXC9']
CAL120_BREAST	ACH-000212	CAL120_BREAST_amplicon8_ecDNA_1	ecDNA	[]
CAL27_UPPER_AERODIGESTIVE_TRACT	ACH-000832	CAL27_UPPER_AERODIGESTIVE_TRACT_amplicon2_Linear amplification_1	Linear amplification	['AADAC', 'AADACL2-AS1', 'C3orf33', 'CCNL1', 'GMPS', 'KCNAB1', 'KCNAB1-AS1', 'KCNAB1-AS2', 'LEKR1', 'MBNL1', 'MBNL1-AS1', 'PA2G4P4', 'PLCH1', 'PTX3', 'SLC33A1', 'SLC66A1L', 'SSR3', 'SUCNR1', 'TIPARP', 'TIPARP-AS1', 'VEPH1']
CAL27_UPPER_AERODIGESTIVE_TRACT	ACH-000832	CAL27_UPPER_AERODIGESTIVE_TRACT_amplicon3_BFB_1	BFB	['ABTB2', 'APIP', 'C11orf74', 'CAT', 'CD44', 'COMMD9', 'EHF', 'ELF5', 'FJX1', 'LDLRAD3', 'PAMR1', 'PDHX', 'PRR5L', 'RAG1', 'RAG2', 'SLC1A2', 'SNORD164', 'TRAF6', 'TRIM44']
CAL54_KIDNEY	ACH-000457	CAL54_KIDNEY_amplicon1_Linear amplification_1	Linear amplification	[]
CAL851_BREAST	ACH-000857	CAL851_BREAST_amplicon1_ecDNA_1	ecDNA	['AHI1', 'ALDH8A1', 'CNTD2', 'CT69', 'HBS1L', 'HMGA1P7', 'MYB', 'SGK1', 'SLC2A12']
